leds[0][0].brightness, 0x00,
leds[4][1].vy, 0x00000000,
leds[4][1].rx, 0x00000000,
leds[4][1].ry, 0x00000000,
leds[4][2].brightness, 0x00,
leds[4][2].vx, 0x00000000,
leds[4][2].vy, 0x00000000,
leds[4][2].rx, 0x00000000,
leds[4][2].ry, 0x00000000,
leds[4][3].brightness, 0x00,
leds[4][3].vx, 0x00000000,
leds[4][3].vy, 0x00000000,
leds[4][3].rx, 0x00000000,
leds[4][3].ry, 0x00000000,
leds[4][4].brightness, 0x28,
leds[4][4].vx, 0x00000000,
leds[4][4].vy, 0x00000000,
leds[4][4].rx, 0x00000000,
leds[4][4].ry, 0x00000000,
leds[4][5].brightness, 0x28,
leds[4][5].vx, 0x00000000,
leds[4][5].vy, 0x00000000,
leds[4][5].rx, 0x00000000,
leds[4][5].ry, 0x00000000,
leds[4][6].brightness, 0x28,
leds[4][6].vx, 0x00000000,
leds[4][6].vy, 0x00000000,
leds[4][6].rx, 0x00000000,
leds[4][6].ry, 0x00000000,
leds[4][7].brightness, 0x28,
leds[4][7].vx, 0x00000000,
leds[4][7].vy, 0x00000000,
leds[4][7].rx, 0x00000000,
leds[4][7].ry, 0x00000000,
leds[4][8].brightness, 0x28,
leds[4][8].vx, 0x00000000,
leds[4][8].vy, 0x00000000,
leds[4][8].rx, 0x00000000,
leds[4][8].ry, 0x00000000,
leds[4][9].brightness, 0x28,
leds[4][9].vx, 0x00000000,
leds[4][9].vy, 0x00000000,
leds[4][9].rx, 0x00000000,
leds[4][9].ry, 0x00000000,
leds[4][10].brightness, 0x28,
leds[4][10].vx, 0x00000000,
leds[4][10].vy, 0x00000000,
leds[4][10].rx, 0x00000000,
leds[4][10].ry, 0x00000000,
leds[4][11].brightness, 0x28,
leds[4][11].vx, 0x00000000,
leds[4][11].vy, 0x00000000,
leds[4][11].rx, 0x00000000,
leds[4][11].ry, 0x00000000,
leds[4][12].brightness, 0x28,
leds[4][12].vx, 0x00000000,
leds[4][12].vy, 0x00000000,
leds[4][12].rx, 0x00000000,
leds[4][12].ry, 0x00000000,
leds[4][13].brightness, 0x00,
leds[4][13].vx, 0x00000000,
leds[4][13].vy, 0x00000000,
leds[4][13].rx, 0x00000000,
leds[4][13].ry, 0x00000000,
leds[4][14].brightness, 0x00,
leds[4][14].vx, 0x00000000,
leds[4][14].vy, 0x00000000,
leds[4][14].rx, 0x00000000,
leds[4][14].ry, 0x00000000,
leds[4][15].brightness, 0x00,
leds[4][15].vx, 0x00000000,
leds[4][15].vy, 0x00000000,
leds[4][15].rx, 0x00000000,
leds[4][15].ry, 0x00000000,
leds[5][0].brightness, 0x00,
leds[5][0].vx, 0x00000000,
leds[5][0].vy, 0x00000000,
leds[5][0].rx, 0x00000000,
leds[5][0].ry, 0x00000000,
